"!symbol / month","!symbol / month"
"Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)","Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)"
"Ratenkauf","Instalment purchase"
"Rechnung","Invoice"
"Recurring Payments","Recurring Payments"
"Refund Amount","Refunded amount"
"Refund ID","Refund ID"
"Refund amount","Refunded amount"
"Refund information","Refund information"
"Refund status","Refund status"
"Refunded Amount","Refunded amount"
"Refunds","Credit Memo"
